1995 CSI #	CSI Description	2004 CSI #	CSI Description	Trade	Division #
000000	procurement and contracting requirements	000000	procurement and contracting requirements	Procurement	00 00 00
000101	project title page	000101	project title page	Procurement	00 00 00
000103	project directory	000103	project directory	Procurement	00 00 00
000105	certifications page	000105	certifications page	Procurement	00 00 00
000107	seals page	000107	seals page	Procurement	00 00 00
000110	table of contents	000110	table of contents	Procurement	00 00 00
000115	list of drawing sheets	000115	list of drawing sheets	Procurement	00 00 00
000120	list of schedules	000120	list of schedules	Procurement	00 00 00
001000	solicitation	001000	solicitation	Procurement	00 00 00
001100	advertisements and invitations	001100	advertisements and invitations	Procurement	00 00 00
001113	advertisement for bids	001113	advertisement for bids	Procurement	00 00 00
001115	advertisement for prequalification of bidders	001115	advertisement for prequalification of bidders	Procurement	00 00 00
001116	invitation to bid	001116	invitation to bid	Procurement	00 00 00
001119	request for proposal	001119	request for proposal	Procurement	00 00 00
001153	request for qualifications	001153	request for qualifications	Procurement	00 00 00
002000	instructions for procurement	002000	instructions for procurement	Procurement	00 00 00
002100	instructions	002100	instructions	Procurement	00 00 00
002113	instructions to bidders	002113	instructions to bidders	Procurement	00 00 00
002116	instructions to proposers	002116	instructions to proposers	Procurement	00 00 00
002200	supplementary instructions	002200	supplementary instructions	Procurement	00 00 00
002213	supplementary instructions to bidders	002213	supplementary instructions to bidders	Procurement	00 00 00
002216	supplementary instructions to proposers	002216	supplementary instructions to proposers	Procurement	00 00 00
002300	procurement definitions	002300	procurement definitions	Procurement	00 00 00
002400	procurement scopes	002400	procurement scopes	Procurement	00 00 00
002413	scopes of bids	002413	scopes of bids	Procurement	00 00 00
002413.13	scopes of bids (multiple contracts)	002413.13	scopes of bids (multiple contracts)	Procurement	00 00 00
002413.16	scopes of bids (multiple-prime contract)	002413.16	scopes of bids (multiple-prime contract)	Procurement	00 00 00
002416	scopes of proposals	002416	scopes of proposals	Procurement	00 00 00
002416.13	scopes of proposals (multiple contracts)	002416.13	scopes of proposals (multiple contracts)	Procurement	00 00 00
002416.16	scopes of proposals (multiple-prime contract)	002416.16	scopes of proposals (multiple-prime contract)	Procurement	00 00 00
002500	procurement meetings	002500	procurement meetings	Procurement	00 00 00
002513	pre-bid meetings	002513	pre-bid meetings	Procurement	00 00 00
002516	pre-proposal meetings	002516	pre-proposal meetings	Procurement	00 00 00
002600	procurement substitution procedures	002600	procurement substitution procedures	Procurement	00 00 00
003000	available information	003000	available information	Procurement	00 00 00
003100	available project information	003100	available project information	Procurement	00 00 00
003113	preliminary schedules	003113	preliminary schedules	Procurement	00 00 00
003113.13	preliminary project schedule	003113.13	preliminary project schedule	Procurement	00 00 00
003113.16	preliminary construction schedule	003113.16	preliminary construction schedule	Procurement	00 00 00
003113.23	preliminary project phases	003113.23	preliminary project phases	Procurement	00 00 00
003113.26	preliminary project sequencing	003113.26	preliminary project sequencing	Procurement	00 00 00
003113.33	preliminary project milestones	003113.33	preliminary project milestones	Procurement	00 00 00
003116	project budget information	003116	project budget information	Procurement	00 00 00
003119	existing condition information	003119	existing condition information	Procurement	00 00 00
003119.13	movement and vibration information	003119.13	movement and vibration information	Procurement	00 00 00
003119.16	acoustic information	003119.16	acoustic information	Procurement	00 00 00
003119.19	traffic information	003119.19	traffic information	Procurement	00 00 00
003119.23	existing structural information	003119.23	existing structural information	Procurement	00 00 00
003121	survey information	003121	survey information	Procurement	00 00 00
003121.13	site survey information	003121.13	site survey information	Procurement	00 00 00
003121.16	measured drawing information	003121.16	measured drawing information	Procurement	00 00 00
003121.19	photographic information	003121.19	photographic information	Procurement	00 00 00
003124	environmental assessment information	003124	environmental assessment information	Procurement	00 00 00
003124.13	soil contamination report	003124.13	soil contamination report	Procurement	00 00 00
003124.23	environmental impact study report	003124.23	environmental impact study report	Procurement	00 00 00
003124.26	environmental impact report evaluation	003124.26	environmental impact report evaluation	Procurement	00 00 00
003124.29	record of environmental impact decision	003124.29	record of environmental impact decision	Procurement	00 00 00
