1995 CSI #	CSI Description	2004 CSI #	CSI Description	Trade	Division #
1730	Selective Demolition	02 41 13	Selective Site Demolition	Demolition	2
1730	Selective Demolition	02 41 19	Selective Structure Demolition	Demolition	2
2000	SITE CONSTRUCTION	02 00 00	Existing Conditions	Sitework	2
2000	SITE CONSTRUCTION	31 00 00	Earthwork	Sitework	2
2000	SITE CONSTRUCTION	32 00 00	Exterior Improvements	Sitework	2
2000	SITE CONSTRUCTION	33 00 00	Utilities	Sitework	2
2000	SITE CONSTRUCTION	35 00 00	Waterway and Marine Construction	Sitework	2
2050	BASIC SITE MATERIALS AND METHODS	02 05 00	Common Work Results for Existing Conditions	Sitework	2
2050	BASIC SITE MATERIALS AND METHODS	31 05 00	Common Work Results for Earthwork	Sitework	2
2050	BASIC SITE MATERIALS AND METHODS	32 05 00	Common Work Results for Exterior Improvements	Sitework	2
2050	BASIC SITE MATERIALS AND METHODS	33 05 00	Common Work Results for Utilities	Sitework	2
2050	BASIC SITE MATERIALS AND METHODS	35 05 00	Common Work Results for Waterway and Marine Construction	Sitework	2
2055	Soils	31 05 13	Soils for Earthwork	Sitework	2
2055	Soils	32 05 13	Soils for Exterior Improvements	Sitework	2
2060	Aggregate	31 05 16	Aggregates for Earthwork	Sitework	2
2060	Aggregate	32 05 16	Aggregates for Exterior Improvements	Sitework	2
2065	Asphalt Cement	32 05 23	Cement and Concrete for Exterior Improvements	Sitework	2
2065	Cement and Concrete	31 05 23	Cement and Concrete for Earthwork	Sitework	2
2065	Cement and Concrete	32 05 23	Cement and Concrete for Exterior Improvements	Sitework	2
2065	Hydraulic Cement	32 05 23	Cement and Concrete for Exterior Improvements	Sitework	2
2065	Plant-Mixed Bituminous Concrete	32 12 16	Asphalt Paving	Sitework	2
2065	Recycled Plant-Mixed Bituminous Concrete	32 12 16	Asphalt Paving	Sitework	2
2070	Geocomposite Edge Drains	33 46 00	Subdrainage	Sitework	2
2070	Geocomposite In-Place Wall Drains	33 46 00	Subdrainage	Sitework	2
2070	Geogrids	31 05 19.19	Geogrids for Earthwork	Sitework	2
2070	Geogrids	32 05 19.19	Geogrids for Exterior Improvements	Sitework	2
2070	Geosynthetics	31 05 19	Geosynthetics for Earthwork	Sitework	2
2070	Geosynthetics	32 05 19	Geosynthetics for Exterior Improvements	Sitework	2
2070	Geotextiles	31 05 19.13	Geotextiles for Earthwork	Sitework	2
2070	Geotextiles	32 05 19.13	Geotextiles for Exterior Improvements	Sitework	2
2080	Hydrants	21 11 16	Facility Fire Hydrants	Sitework	2
2080	Hydrants	33 12 19	Water Utility Distribution Fire Hydrants	Sitework	2
2080	Manholes	33 05 13	Manholes and Structures	Sitework	2
2080	Meters	26 27 13	Electricity Metering	Sitework	2
2080	Meters	33 51 33	Natural-Gas Metering	Sitework	2
2080	Meters	33 63 33	Steam Energy Distribution Metering	Sitework	2
2080	Meters	33 71 73.33	Electric Meters	Sitework	2
2080	Utility Boxes	33 05 13	Manholes and Structures	Sitework	2
